State or Region,Institution Sector,sector_sort,Fall_2003_Active,Fall_2003_IPEDS_Universe,Fall_2004_Active,Fall_2004_IPEDS_Universe,Fall_2005_Active,Fall_2005_IPEDS_Universe,Fall_2006_Active,Fall_2006_IPEDS_Universe,Fall_2007_Active,Fall_2007_IPEDS_Universe,Fall_2008_Active,Fall_2008_IPEDS_Universe,Fall_2009_Active,Fall_2009_IPEDS_Universe,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active*,Fall_2020_IPEDS_Universe*,(* estimated)
Midwest,"All Private, for-profit Institutions",6,"108,142","184,637","124,757","212,832","127,168","264,197","142,522","281,412","160,314","309,733","191,637","370,943","238,996","475,537","298,079","547,162","266,518","484,475","259,186","436,024","321,885","422,173","328,812","395,187","305,171","360,201","245,305","290,352","220,695","259,061","188,895","215,606","189,241","214,010","189,241","214,010",
Midwest,"Public, 4-year",7,"1,455,181","1,651,858","1,499,638","1,653,322","1,537,022","1,675,247","1,556,243","1,679,915","1,709,197","1,718,581","1,745,154","1,747,978","1,812,442","1,815,640","1,853,585","1,856,687","1,861,365","1,864,388","1,846,543","1,849,454","1,850,266","1,852,762","1,864,833","1,867,226","1,876,365","1,878,759","1,886,467","1,894,128","1,855,037","1,855,265","1,837,215","1,837,413","1,846,647","1,846,647","1,846,647","1,846,647",
Midwest,"Private, not-for-profit, 4-year",8,"718,513","878,644","745,669","900,856","772,520","916,867","802,376","934,289","828,431","954,142","845,945","966,422","925,777","992,708","947,860","1,010,611","945,953","1,008,942","943,195","992,354","937,128","981,768","927,642","965,623","916,931","949,962","896,196","935,310","883,535","915,935","909,718","942,756","892,594","927,038","895,003","927,038",
Midwest,"Private, for-profit, 4-year",9,"93,539","131,788","111,211","157,647","115,091","205,973","129,848","223,372","146,466","249,050","177,176","300,281","221,323","385,886","293,336","469,724","261,895","421,462","253,804","392,749","316,429","383,334","323,399","360,292","300,677","326,860","245,058","264,293","220,606","237,435","188,895","197,819","189,241","194,375","189,241","194,375",
Midwest,"Public, 2-year",10,"1,282,461","1,347,295","1,293,374","1,349,120","1,288,355","1,326,053","1,307,517","1,341,177","1,320,182","1,341,570","1,374,556","1,391,971","1,514,931","1,530,347","1,559,418","1,574,892","1,532,058","1,546,363","1,469,610","1,483,982","1,422,899","1,435,487","1,352,214","1,360,398","1,281,184","1,289,140","1,226,284","1,233,427","1,205,859","1,208,530","1,174,237","1,176,018","1,132,090","1,139,106","1,132,090","1,139,106",
Midwest,"Private, not-for-profit, 2-year",11,"1,273","9,989",738,"9,560","2,180","10,286","1,988","7,680",652,"7,432","1,171","8,183",679,"7,766","1,700","8,795","1,065","8,587","1,863","7,489","1,924","4,389","2,249","4,190","1,687","3,493","1,261","3,600",859,"2,683",662,"2,294",775,"2,123",775,"2,123",
Midwest,"Private, for-profit, 2-year",12,"14,603","52,849","13,546","55,185","12,077","58,224","12,674","58,040","13,848","60,683","14,461","70,662","17,673","89,651","4,743","77,438","4,623","63,013","5,382","43,275","5,456","38,839","5,413","34,895","4,494","33,341",247,"26,059",89,"21,626",0,"17,787",0,"19,635",0,"19,635",
Northeast,Overall,1,"2,675,530","3,033,273","2,725,374","3,077,565","2,786,018","3,102,775","2,844,558","3,141,608","2,957,149","3,209,395","3,099,812","3,319,873","3,246,415","3,468,931","3,329,457","3,540,512","3,379,014","3,542,586","3,378,889","3,533,217","3,375,132","3,514,720","3,392,452","3,507,255","3,379,554","3,480,479","3,375,433","3,463,769","3,363,132","3,452,158","3,342,371","3,425,413","3,316,804","3,398,781","3,317,228","3,398,781",
Northeast,All 4-year Institutions,2,"1,994,955","2,244,987","2,020,447","2,270,307","2,062,205","2,302,926","2,112,445","2,336,021","2,191,345","2,382,110","2,302,103","2,464,122","2,379,601","2,538,566","2,437,160","2,577,674","2,485,638","2,587,252","2,501,457","2,600,852","2,512,001","2,599,340","2,541,809","2,616,535","2,560,326","2,629,759","2,582,681","2,643,864","2,596,194","2,660,735","2,606,953","2,666,047","2,608,509","2,665,302","2,608,933","2,665,302",
Northeast,All 2-year Institutions,3,"680,575","788,286","704,927","807,258","723,813","799,849","732,113","805,587","765,804","827,285","797,709","855,751","866,814","930,365","892,297","962,838","893,376","955,334","877,432","932,365","863,131","915,380","850,643","890,720","819,228","850,720","792,752","819,905","766,938","791,423","735,418","759,366","708,295","733,479","708,295","733,479",
Northeast,All Public Institutions,4,"1,638,437","1,748,930","1,662,792","1,767,943","1,700,105","1,769,812","1,725,406","1,794,297","1,773,962","1,843,324","1,834,660","1,899,270","1,935,150","1,999,777","1,996,735","2,039,337","2,035,410","2,043,808","2,019,376","2,027,585","2,004,743","2,012,382","1,994,670","2,002,044","1,955,843","1,963,098","1,935,067","1,942,477","1,913,313","1,922,065","1,881,436","1,892,230","1,853,895","1,865,328","1,853,895","1,865,328",
Northeast,"All Private, not-for-profit Institutions",5,"1,024,772","1,192,681","1,048,532","1,213,870","1,070,392","1,233,038","1,103,253","1,246,477","1,158,221","1,259,036","1,235,983","1,311,757","1,271,127","1,340,123","1,288,365","1,356,639","1,300,634","1,363,411","1,316,742","1,377,745","1,325,843","1,380,773","1,340,198","1,392,817","1,368,859","1,418,555","1,385,931","1,433,213","1,398,575","1,450,284","1,409,318","1,460,996","1,412,019","1,461,413","1,412,443","1,461,413",
Northeast,"All Private, for-profit Institutions",6,"12,321","91,662","14,050","95,752","15,521","99,925","15,899","100,834","24,966","107,035","29,169","108,846","40,138","129,031","44,357","144,536","42,970","135,367","42,771","127,887","44,546","121,565","57,584","112,394","54,852","98,826","54,435","88,079","51,244","79,809","51,617","72,187","50,890","72,040","50,890","72,040",
Northeast,"Public, 4-year",7,"965,256","1,034,332","966,830","1,036,546","984,206","1,044,364","1,001,378","1,061,126","1,020,593","1,087,843","1,049,048","1,113,338","1,081,771","1,146,024","1,116,627","1,158,640","1,154,848","1,162,740","1,153,019","1,160,750","1,152,144","1,159,783","1,160,322","1,167,696","1,153,892","1,161,147","1,159,409","1,166,819","1,159,916","1,168,668","1,157,652","1,165,512","1,152,147","1,160,591","1,152,147","1,160,591",
Northeast,"Private, not-for-profit, 4-year",8,"1,019,564","1,178,495","1,042,818","1,198,576","1,064,626","1,216,759","1,097,183","1,229,512","1,151,861","1,241,141","1,229,366","1,293,018","1,263,694","1,321,734","1,282,481","1,341,447","1,293,604","1,348,450","1,309,953","1,363,778","1,319,187","1,366,802","1,333,890","1,380,772","1,361,512","1,406,788","1,378,798","1,422,002","1,393,091","1,440,347","1,404,753","1,452,361","1,407,546","1,451,940","1,407,970","1,451,940",
Northeast,"Private, for-profit, 4-year",9,"10,135","32,160","10,799","35,185","13,373","41,803","13,884","45,383","18,891","53,126","23,689","57,766","34,136","70,808","38,052","77,587","37,186","76,062","38,485","76,324","40,670","72,755","47,597","68,067","44,922","61,824","44,474","55,043","43,187","51,720","44,548","48,174","48,816","52,771","48,816","52,771",
Northeast,"Public, 2-year",10,"673,181","714,598","695,962","731,397","715,899","725,448","724,028","733,171","753,369","755,481","785,612","785,932","853,379","853,753","880,108","880,697","880,562","881,068","866,357","866,835","852,599","852,599","834,348","834,348","801,951","801,951","775,658","775,658","753,397","753,397","723,784","726,718","701,748","704,737","701,748","704,737",
Northeast,"Private, not-for-profit, 2-year",11,"5,208","14,186","5,714","15,294","5,766","16,279","6,070","16,965","6,360","17,895","6,617","18,739","7,433","18,389","5,884","15,192","7,030","14,961","6,789","13,967","6,656","13,971","6,308","12,045","7,347","11,767","7,133","11,211","5,484","9,937","4,565","8,635","4,473","9,473","4,473","9,473",
Northeast,"Private, for-profit, 2-year",12,"2,186","59,502","3,251","60,567","2,148","58,122","2,015","55,451","6,075","53,909","5,480","51,080","6,002","58,223","6,305","66,949","5,784","59,305","4,286","51,563","3,876","48,810","9,987","44,327","9,930","37,002","9,961","33,036","8,057","28,089","7,069","24,013","2,074","19,269","2,074","19,269",
South,Overall,1,"4,637,289","5,521,061","4,841,161","5,656,061","4,910,594","5,666,272","5,072,735","5,782,709","5,253,314","5,947,543","5,563,756","6,254,636","6,047,766","6,745,376","6,421,385","7,063,659","6,531,236","7,138,130","6,516,902","7,052,864","6,579,898","6,952,815","6,592,102","6,902,358","6,599,448","6,859,441","6,626,099","6,884,494","6,663,425","6,913,929","6,685,366","6,907,897","6,708,985","6,934,998","6,733,613","6,934,998",
South,All 4-year Institutions,2,"2,994,364","3,438,487","3,134,791","3,537,058","3,197,455","3,580,404","3,305,921","3,686,777","3,442,106","3,822,737","3,625,210","4,019,318","3,939,042","4,312,414","4,164,936","4,557,994","4,297,783","4,681,833","4,358,650","4,711,789","4,463,427","4,697,830","4,545,810","4,731,434","4,590,957","4,746,613","4,665,728","4,823,901","4,697,087","4,850,159","4,782,183","4,916,156","4,862,385","4,997,343","4,887,013","4,997,343",
South,All 2-year Institutions,3,"1,642,925","2,082,574","1,706,370","2,119,003","1,713,139","2,085,868","1,766,814","2,095,932","1,811,208","2,124,806","1,938,546","2,235,318","2,108,724","2,432,962","2,256,449","2,505,665","2,233,453","2,456,297","2,158,252","2,341,075","2,116,471","2,254,985","2,046,292","2,170,924","2,008,491","2,112,828","1,960,371","2,060,593","1,966,338","2,063,770","1,903,183","1,991,741","1,846,600","1,937,655","1,846,600","1,937,655",
South,All Public Institutions,4,"3,942,486","4,547,766","4,116,380","4,624,417","4,179,666","4,637,309","4,301,357","4,706,803","4,434,946","4,825,091","4,694,432","5,007,296","5,106,006","5,374,825","5,435,805","5,584,659","5,496,371","5,630,357","5,453,574","5,555,295","5,433,853","5,483,514","5,416,737","5,459,600","5,424,454","5,447,598","5,463,796","5,488,109","5,493,690","5,521,762","5,512,387","5,531,753","5,527,760","5,547,858","5,527,760","5,547,858",
South,"All Private, not-for-profit Institutions",5,"664,655","820,347","685,054","834,604","685,404","833,174","720,619","861,444","759,662","883,710","788,965","914,058","838,361","952,982","870,304","980,462","900,852","1,024,928","931,895","1,033,804","959,191","1,039,592","969,324","1,043,694","998,877","1,078,646","996,002","1,082,981","1,005,914","1,089,529","1,018,911","1,102,556","1,027,523","1,106,985","1,030,485","1,106,985",
South,"All Private, for-profit Institutions",6,"30,148","152,948","39,727","197,040","45,524","195,789","50,759","214,462","58,706","238,742","80,359","333,282","103,399","417,569","115,276","498,538","134,013","482,845","131,433","463,765","186,854","429,709","206,041","399,064","176,117","333,197","166,301","313,404","163,821","302,638","154,068","273,588","153,702","280,155","175,368","280,155",
South,"Public, 4-year",7,"2,305,697","2,538,442","2,415,859","2,586,797","2,470,354","2,635,291","2,538,569","2,693,295","2,628,098","2,780,893","2,765,009","2,863,936","3,007,362","3,075,128","3,194,851","3,235,324","3,282,049","3,322,610","3,314,855","3,352,040","3,337,984","3,354,803","3,389,951","3,406,910","3,440,547","3,448,841","3,528,225","3,538,646","3,554,211","3,570,769","3,623,216","3,630,974","3,693,302","3,700,563","3,693,302","3,700,563",
South,"Private, not-for-profit, 4-year",8,"662,798","812,655","682,771","827,364","683,075","826,264","718,263","856,529","757,201","878,889","786,506","910,038","836,465","948,715","868,348","975,797","898,802","1,012,990","929,875","1,022,442","957,183","1,030,213","967,342","1,034,380","994,389","1,052,935","991,246","1,055,122","1,001,820","1,060,734","1,013,811","1,073,492","1,023,101","1,079,372","1,026,063","1,079,372",
South,"Private, for-profit, 4-year",9,"25,869","87,390","36,161","122,897","44,026","118,849","49,089","136,953","56,807","162,955","73,695","245,344","95,215","288,571","101,737","346,873","116,932","346,233","113,920","337,307","168,260","312,814","188,517","290,144","156,021","244,837","146,257","230,133","141,056","218,656","145,156","211,690","145,982","217,408","167,648","217,408",
South,"Public, 2-year",10,"1,636,789","2,009,324","1,700,521","2,037,620","1,709,312","2,002,018","1,762,788","2,013,508","1,806,848","2,044,198","1,929,423","2,143,360","2,098,644","2,299,697","2,240,954","2,349,335","2,214,322","2,307,747","2,138,719","2,203,255","2,095,869","2,128,711","2,026,786","2,052,690","1,983,907","1,998,757","1,935,571","1,949,463","1,939,479","1,950,993","1,889,171","1,900,779","1,834,458","1,847,295","1,834,458","1,847,295",
South,"Private, not-for-profit, 2-year",11,"1,857","7,692","2,283","7,240","2,329","6,910","2,356","4,915","2,461","4,821","2,459","4,020","1,896","4,267","1,956","4,665","2,050","11,938","2,020","11,362","2,008","9,379","1,982","9,314","4,488","25,711","4,756","27,859","4,094","28,795","5,100","29,064","4,422","27,613","4,422","27,613",
South,"Private, for-profit, 2-year",12,"4,279","65,558","3,566","74,143","1,498","76,940","1,670","77,509","1,899","75,787","6,664","87,938","8,184","128,998","13,539","151,665","17,081","136,612","17,513","126,458","18,594","116,895","17,524","108,920","20,096","88,360","20,044","83,271","22,765","83,982","8,912","61,898","7,720","62,747","7,720","62,747",
West,Overall,1,"3,748,667","4,273,714","3,851,803","4,412,728","3,983,176","4,525,778","4,084,244","4,590,080","4,304,964","4,759,732","4,648,396","5,042,808","4,976,920","5,391,406","5,018,010","5,413,504","5,030,714","5,400,348","5,020,707","5,287,491","4,982,562","5,211,344","4,975,361","5,191,770","4,961,646","5,142,958","4,955,791","5,125,969","4,975,034","5,144,267","4,986,127","5,137,093","4,999,331","5,173,423","5,001,407","5,173,423",
West,All 4-year Institutions,2,"1,894,766","2,061,789","2,033,153","2,206,991","2,147,023","2,318,003","2,195,703","2,368,974","2,324,360","2,490,976","2,453,540","2,621,626","2,660,827","2,850,114","2,661,107","2,862,561","2,724,475","2,930,254","2,744,214","2,931,951","2,739,976","2,891,953","2,795,328","2,938,734","2,823,714","2,941,886","3,068,390","3,179,557","3,175,253","3,291,012","3,237,647","3,339,397","3,285,711","3,406,676","3,287,787","3,406,676",
West,All 2-year Institutions,3,"1,853,901","2,211,925","1,818,650","2,205,737","1,836,153","2,207,775","1,888,541","2,221,106","1,980,604","2,268,756","2,194,856","2,421,182","2,316,093","2,541,292","2,356,903","2,550,943","2,306,239","2,470,094","2,276,493","2,355,540","2,242,586","2,319,391","2,180,033","2,253,036","2,137,932","2,201,072","1,887,401","1,946,412","1,799,781","1,853,255","1,748,480","1,797,696","1,713,620","1,766,747","1,713,620","1,766,747",
West,All Public Institutions,4,"3,234,839","3,561,210","3,235,684","3,585,310","3,292,756","3,613,413","3,373,558","3,657,941","3,522,230","3,762,214","3,762,351","3,925,638","3,949,170","4,090,053","4,000,461","4,087,234","3,959,250","4,025,280","3,943,726","3,964,027","3,939,385","3,961,413","3,942,652","3,965,747","3,962,965","3,989,508","3,996,808","4,024,831","4,024,005","4,052,533","4,031,078","4,055,710","4,040,849","4,063,980","4,041,539","4,063,980",
West,"All Private, not-for-profit Institutions",5,"346,804","439,057","368,846","452,795","380,665","461,327","392,820","462,976","411,451","466,830","409,981","461,099","425,341","471,504","450,665","498,109","473,112","521,024","498,635","541,939","530,208","566,223","554,392","588,227","581,607","611,116","594,520","621,142","620,317","646,356","726,853","750,607","749,852","780,691","751,238","780,691",
West,"All Private, for-profit Institutions",6,"167,024","273,447","247,273","374,623","309,755","451,038","317,866","469,163","371,283","530,688","476,064","656,071","602,409","829,849","566,884","828,161","598,352","854,044","578,346","781,525","512,969","683,708","478,317","637,796","417,074","542,334","364,463","479,996","330,712","445,378","228,196","330,776","208,630","328,752","208,630","328,752",
West,"Public, 4-year",7,"1,390,545","1,424,809","1,425,645","1,459,871","1,465,328","1,482,703","1,493,933","1,509,695","1,550,496","1,566,742","1,580,376","1,594,868","1,649,439","1,661,428","1,664,596","1,674,120","1,689,471","1,697,991","1,716,088","1,730,439","1,737,162","1,753,069","1,798,005","1,815,418","1,845,905","1,863,690","2,122,651","2,142,303","2,237,783","2,258,775","2,292,214","2,312,521","2,337,520","2,357,019","2,338,210","2,357,019",
West,"Private, not-for-profit, 4-year",8,"337,224","427,088","360,574","442,639","372,488","451,280","384,479","453,380","409,460","463,492","408,029","456,690","423,183","467,159","448,856","494,405","471,125","516,940","496,444","537,398","528,172","562,032","552,386","583,733","575,329","602,372","589,027","613,504","616,684","639,646","723,831","745,752","746,904","775,555","748,290","775,555",
West,"Private, for-profit, 4-year",9,"166,997","209,892","246,934","304,481","309,207","384,020","317,291","405,899","364,404","460,742","465,135","570,068","588,205","721,527","547,655","694,036","563,879","715,323","531,682","664,114","474,642","576,852","444,937","539,583","402,480","475,824","356,712","423,750","320,786","392,591","221,602","281,124","201,287","274,102","201,287","274,102",
West,"Public, 2-year",10,"1,844,294","2,136,401","1,810,039","2,125,439","1,827,428","2,130,710","1,879,625","2,148,246","1,971,734","2,195,472","2,181,975","2,330,770","2,299,731","2,428,625","2,335,865","2,413,114","2,269,779","2,327,289","2,227,638","2,233,588","2,202,223","2,208,344","2,144,647","2,150,329","2,117,060","2,125,818","1,874,157","1,882,528","1,786,222","1,793,758","1,738,864","1,743,189","1,703,329","1,706,961","1,703,329","1,706,961",
West,"Private, not-for-profit, 2-year",11,"9,580","11,969","8,272","10,156","8,177","10,047","8,341","9,596","1,991","3,338","1,952","4,409","2,158","4,345","1,809","3,704","1,987","4,084","2,191","4,541","2,036","4,191","2,006","4,494","6,278","8,744","5,493","7,638","3,633","6,710","3,022","4,855","2,948","5,136","2,948","5,136",
West,"Private, for-profit, 2-year",12,27,"63,555",339,"70,142",548,"67,018",575,"63,264","6,879","69,946","10,929","86,003","14,204","108,322","19,229","134,125","34,473","138,721","46,664","117,411","38,327","106,856","33,380","98,213","14,594","66,510","7,751","56,246","9,926","52,787","6,594","49,652","7,343","54,650","7,343","54,650",
Alabama,Overall,1,"192,347","253,392","194,967","255,163","209,647","255,722","229,947","257,675","237,135","267,240","264,321","313,833","282,138","315,446","293,893","331,651","290,519","322,874","284,887","316,190","286,264","314,759","307,015","313,894","303,576","309,540","304,513","311,254","312,483","315,878","300,026","302,377","298,202","300,642","298,202","300,642",
Alabama,All 4-year Institutions,2,"158,217","171,450","162,188","175,824","170,015","176,611","173,890","180,541","179,501","187,193","190,659","225,503","199,220","216,009","203,572","224,672","198,219","219,217","195,248","219,244","193,499","217,533","216,014","220,243","215,588","219,124","216,728","219,552","220,903","223,191","220,239","222,041","218,765","220,183","218,765","220,183",
Alabama,All 2-year Institutions,3,"34,130","81,942","32,779","79,339","39,632","79,111","56,057","77,134","57,634","80,047","73,662","88,330","82,918","99,437","90,321","106,979","92,300","103,657","89,639","96,946","92,765","97,226","91,001","93,651","87,988","90,416","87,785","91,702","91,580","92,687","79,787","80,336","79,437","80,459","79,437","80,459",
Alabama,All Public Institutions,4,"172,288","225,347","174,866","226,989","189,384","228,153","209,914","230,668","216,217","237,632","230,963","245,040","244,507","260,277","251,980","267,083","251,843","260,523","246,324","251,045","246,022","248,284","246,440","246,989","246,880","247,451","248,676","251,038","253,622","254,071","254,644","255,087","254,318","254,803","254,318","254,803",
