State,Sector,sector_sort,year,total_enrollment
Alabama,"Public, 2-year",10,Fall_2010_Active,"82,711"
Alabama,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Alabama,"Private, for-profit, 2-year",12,Fall_2010_Active,"7,610"
Alaska,Overall,1,Fall_2010_Active,"32,747"
Alaska,All 4-year Institutions,2,Fall_2010_Active,"32,199"
Alaska,All 2-year Institutions,3,Fall_2010_Active,548
Alaska,All Public Institutions,4,Fall_2010_Active,"32,015"
Alaska,"All Private, not-for-profit Institutions",5,Fall_2010_Active,732
Alaska,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Alaska,"Public, 4-year",7,Fall_2010_Active,"31,467"
Alaska,"Private, not-for-profit, 4-year",8,Fall_2010_Active,732
Alaska,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Alaska,"Public, 2-year",10,Fall_2010_Active,548
Alaska,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Alaska,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Arizona,Overall,1,Fall_2010_Active,"765,556"
Arizona,All 4-year Institutions,2,Fall_2010_Active,"590,119"
Arizona,All 2-year Institutions,3,Fall_2010_Active,"175,437"
Arizona,All Public Institutions,4,Fall_2010_Active,"312,193"
Arizona,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"1,132"
Arizona,"All Private, for-profit Institutions",6,Fall_2010_Active,"452,231"
Arizona,"Public, 4-year",7,Fall_2010_Active,"136,756"
Arizona,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"1,132"
Arizona,"Private, for-profit, 4-year",9,Fall_2010_Active,"452,231"
Arizona,"Public, 2-year",10,Fall_2010_Active,"175,437"
Arizona,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Arizona,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Arkansas,Overall,1,Fall_2010_Active,"162,085"
Arkansas,All 4-year Institutions,2,Fall_2010_Active,"104,444"
Arkansas,All 2-year Institutions,3,Fall_2010_Active,"57,641"
Arkansas,All Public Institutions,4,Fall_2010_Active,"148,800"
Arkansas,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"13,285"
Arkansas,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Arkansas,"Public, 4-year",7,Fall_2010_Active,"91,159"
Arkansas,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"13,285"
Arkansas,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Arkansas,"Public, 2-year",10,Fall_2010_Active,"57,641"
Arkansas,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Arkansas,"Private, for-profit, 2-year",12,Fall_2010_Active,0
California,Overall,1,Fall_2010_Active,"2,579,818"
California,All 4-year Institutions,2,Fall_2010_Active,"990,383"
California,All 2-year Institutions,3,Fall_2010_Active,"1,589,435"
California,All Public Institutions,4,Fall_2010_Active,"2,214,878"
California,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"259,433"
California,"All Private, for-profit Institutions",6,Fall_2010_Active,"105,507"
California,"Public, 4-year",7,Fall_2010_Active,"641,539"
California,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"259,433"
California,"Private, for-profit, 4-year",9,Fall_2010_Active,"89,411"
California,"Public, 2-year",10,Fall_2010_Active,"1,573,339"
California,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
California,"Private, for-profit, 2-year",12,Fall_2010_Active,"16,096"
Colorado,Overall,1,Fall_2010_Active,"301,709"
Colorado,All 4-year Institutions,2,Fall_2010_Active,"196,196"
Colorado,All 2-year Institutions,3,Fall_2010_Active,"105,513"
Colorado,All Public Institutions,4,Fall_2010_Active,"269,407"
Colorado,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"30,129"
Colorado,"All Private, for-profit Institutions",6,Fall_2010_Active,"2,173"
Colorado,"Public, 4-year",7,Fall_2010_Active,"163,894"
Colorado,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"30,129"
Colorado,"Private, for-profit, 4-year",9,Fall_2010_Active,"2,173"
Colorado,"Public, 2-year",10,Fall_2010_Active,"105,513"
Colorado,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Colorado,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Connecticut,Overall,1,Fall_2010_Active,"186,749"
Connecticut,All 4-year Institutions,2,Fall_2010_Active,"127,911"
Connecticut,All 2-year Institutions,3,Fall_2010_Active,"58,838"
Connecticut,All Public Institutions,4,Fall_2010_Active,"127,194"
Connecticut,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"59,555"
Connecticut,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Connecticut,"Public, 4-year",7,Fall_2010_Active,"68,941"
Connecticut,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"58,970"
Connecticut,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Connecticut,"Public, 2-year",10,Fall_2010_Active,"58,253"
Connecticut,"Private, not-for-profit, 2-year",11,Fall_2010_Active,585
Connecticut,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Delaware,Overall,1,Fall_2010_Active,"52,828"
Delaware,All 4-year Institutions,2,Fall_2010_Active,"37,131"
Delaware,All 2-year Institutions,3,Fall_2010_Active,"15,697"
Delaware,All Public Institutions,4,Fall_2010_Active,"40,408"
Delaware,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"12,420"
Delaware,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Delaware,"Public, 4-year",7,Fall_2010_Active,"24,934"
Delaware,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"12,197"
Delaware,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Delaware,"Public, 2-year",10,Fall_2010_Active,"15,474"
Delaware,"Private, not-for-profit, 2-year",11,Fall_2010_Active,223
Delaware,"Private, for-profit, 2-year",12,Fall_2010_Active,0
District_of_Columbia,Overall,1,Fall_2010_Active,"141,457"
District_of_Columbia,All 4-year Institutions,2,Fall_2010_Active,"141,457"
District_of_Columbia,All 2-year Institutions,3,Fall_2010_Active,0
District_of_Columbia,All Public Institutions,4,Fall_2010_Active,"5,840"
District_of_Columbia,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"76,701"
District_of_Columbia,"All Private, for-profit Institutions",6,Fall_2010_Active,"58,916"
District_of_Columbia,"Public, 4-year",7,Fall_2010_Active,"5,840"
District_of_Columbia,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"76,701"
District_of_Columbia,"Private, for-profit, 4-year",9,Fall_2010_Active,"58,916"
District_of_Columbia,"Public, 2-year",10,Fall_2010_Active,0
District_of_Columbia,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
District_of_Columbia,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Florida,Overall,1,Fall_2010_Active,"921,525"
Florida,All 4-year Institutions,2,Fall_2010_Active,"798,333"
Florida,All 2-year Institutions,3,Fall_2010_Active,"123,192"
Florida,All Public Institutions,4,Fall_2010_Active,"782,089"
Florida,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"135,606"
Florida,"All Private, for-profit Institutions",6,Fall_2010_Active,"3,830"
Florida,"Public, 4-year",7,Fall_2010_Active,"660,985"
Florida,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"135,606"
Florida,"Private, for-profit, 4-year",9,Fall_2010_Active,"1,742"
Florida,"Public, 2-year",10,Fall_2010_Active,"121,104"
Florida,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Florida,"Private, for-profit, 2-year",12,Fall_2010_Active,"2,088"
Georgia,Overall,1,Fall_2010_Active,"491,084"
Georgia,All 4-year Institutions,2,Fall_2010_Active,"322,415"
Georgia,All 2-year Institutions,3,Fall_2010_Active,"168,669"
Georgia,All Public Institutions,4,Fall_2010_Active,"424,448"
Georgia,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"66,636"
Georgia,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Georgia,"Public, 4-year",7,Fall_2010_Active,"256,052"
Georgia,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"66,363"
Georgia,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Georgia,"Public, 2-year",10,Fall_2010_Active,"168,396"
Georgia,"Private, not-for-profit, 2-year",11,Fall_2010_Active,273
Georgia,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Hawaii,Overall,1,Fall_2010_Active,"67,812"
Hawaii,All 4-year Institutions,2,Fall_2010_Active,"35,991"
Hawaii,All 2-year Institutions,3,Fall_2010_Active,"31,821"
Hawaii,All Public Institutions,4,Fall_2010_Active,"60,090"
Hawaii,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"5,737"
Hawaii,"All Private, for-profit Institutions",6,Fall_2010_Active,"1,985"
Hawaii,"Public, 4-year",7,Fall_2010_Active,"30,254"
Hawaii,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"5,737"
Hawaii,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Hawaii,"Public, 2-year",10,Fall_2010_Active,"29,836"
Hawaii,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Hawaii,"Private, for-profit, 2-year",12,Fall_2010_Active,"1,985"
Idaho,Overall,1,Fall_2010_Active,"81,153"
Idaho,All 4-year Institutions,2,Fall_2010_Active,"66,329"
Idaho,All 2-year Institutions,3,Fall_2010_Active,"14,824"
Idaho,All Public Institutions,4,Fall_2010_Active,"64,204"
Idaho,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"16,949"
Idaho,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Idaho,"Public, 4-year",7,Fall_2010_Active,"49,380"
Idaho,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"16,949"
Idaho,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Idaho,"Public, 2-year",10,Fall_2010_Active,"14,824"
Idaho,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Idaho,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Illinois,Overall,1,Fall_2010_Active,"918,837"
Illinois,All 4-year Institutions,2,Fall_2010_Active,"538,337"
Illinois,All 2-year Institutions,3,Fall_2010_Active,"380,500"
Illinois,All Public Institutions,4,Fall_2010_Active,"585,515"
Illinois,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"219,480"
Illinois,"All Private, for-profit Institutions",6,Fall_2010_Active,"113,842"
Illinois,"Public, 4-year",7,Fall_2010_Active,"205,015"
Illinois,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"219,480"
Illinois,"Private, for-profit, 4-year",9,Fall_2010_Active,"113,842"
Illinois,"Public, 2-year",10,Fall_2010_Active,"380,500"
Illinois,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Illinois,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Indiana,Overall,1,Fall_2010_Active,"502,479"
Indiana,All 4-year Institutions,2,Fall_2010_Active,"391,244"
Indiana,All 2-year Institutions,3,Fall_2010_Active,"111,235"
Indiana,All Public Institutions,4,Fall_2010_Active,"337,705"
Indiana,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"80,496"
Indiana,"All Private, for-profit Institutions",6,Fall_2010_Active,"84,278"
Indiana,"Public, 4-year",7,Fall_2010_Active,"231,791"
Indiana,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"79,918"
Indiana,"Private, for-profit, 4-year",9,Fall_2010_Active,"79,535"
Indiana,"Public, 2-year",10,Fall_2010_Active,"105,914"
Indiana,"Private, not-for-profit, 2-year",11,Fall_2010_Active,578
Indiana,"Private, for-profit, 2-year",12,Fall_2010_Active,"4,743"
Iowa,Overall,1,Fall_2010_Active,"233,860"
Iowa,All 4-year Institutions,2,Fall_2010_Active,"127,480"
Iowa,All 2-year Institutions,3,Fall_2010_Active,"106,380"
Iowa,All Public Institutions,4,Fall_2010_Active,"177,781"
Iowa,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"55,436"
Iowa,"All Private, for-profit Institutions",6,Fall_2010_Active,643
Iowa,"Public, 4-year",7,Fall_2010_Active,"71,401"
Iowa,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"55,436"
Iowa,"Private, for-profit, 4-year",9,Fall_2010_Active,643
Iowa,"Public, 2-year",10,Fall_2010_Active,"106,380"
Iowa,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Iowa,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Kansas,Overall,1,Fall_2010_Active,"190,404"
Kansas,All 4-year Institutions,2,Fall_2010_Active,"116,427"
Kansas,All 2-year Institutions,3,Fall_2010_Active,"73,977"
Kansas,All Public Institutions,4,Fall_2010_Active,"173,344"
Kansas,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"17,060"
Kansas,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Kansas,"Public, 4-year",7,Fall_2010_Active,"99,367"
Kansas,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"17,060"
Kansas,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Kansas,"Public, 2-year",10,Fall_2010_Active,"73,977"
Kansas,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Kansas,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Kentucky,Overall,1,Fall_2010_Active,"269,261"
Kentucky,All 4-year Institutions,2,Fall_2010_Active,"162,862"
Kentucky,All 2-year Institutions,3,Fall_2010_Active,"106,399"
Kentucky,All Public Institutions,4,Fall_2010_Active,"229,725"
Kentucky,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"31,033"
Kentucky,"All Private, for-profit Institutions",6,Fall_2010_Active,"8,503"
Kentucky,"Public, 4-year",7,Fall_2010_Active,"123,326"
Kentucky,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"31,033"
Kentucky,"Private, for-profit, 4-year",9,Fall_2010_Active,"8,503"
Kentucky,"Public, 2-year",10,Fall_2010_Active,"106,399"
Kentucky,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Kentucky,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Louisiana,Overall,1,Fall_2010_Active,"221,341"
Louisiana,All 4-year Institutions,2,Fall_2010_Active,"169,356"
Louisiana,All 2-year Institutions,3,Fall_2010_Active,"51,985"
Louisiana,All Public Institutions,4,Fall_2010_Active,"193,451"
Louisiana,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"27,411"
Louisiana,"All Private, for-profit Institutions",6,Fall_2010_Active,479
Louisiana,"Public, 4-year",7,Fall_2010_Active,"141,945"
Louisiana,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"27,411"
Louisiana,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Louisiana,"Public, 2-year",10,Fall_2010_Active,"51,506"
Louisiana,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Louisiana,"Private, for-profit, 2-year",12,Fall_2010_Active,479
Maine,Overall,1,Fall_2010_Active,"69,548"
Maine,All 4-year Institutions,2,Fall_2010_Active,"52,299"
Maine,All 2-year Institutions,3,Fall_2010_Active,"17,249"
Maine,All Public Institutions,4,Fall_2010_Active,"50,893"
Maine,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"18,655"
Maine,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Maine,"Public, 4-year",7,Fall_2010_Active,"33,644"
Maine,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"18,655"
Maine,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Maine,"Public, 2-year",10,Fall_2010_Active,"17,249"
Maine,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Maine,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Maryland,Overall,1,Fall_2010_Active,"360,009"
Maryland,All 4-year Institutions,2,Fall_2010_Active,"212,633"
Maryland,All 2-year Institutions,3,Fall_2010_Active,"147,376"
Maryland,All Public Institutions,4,Fall_2010_Active,"309,779"
Maryland,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"50,230"
Maryland,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Maryland,"Public, 4-year",7,Fall_2010_Active,"162,403"
Maryland,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"50,230"
Maryland,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Maryland,"Public, 2-year",10,Fall_2010_Active,"147,376"
Maryland,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Maryland,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Massachusetts,Overall,1,Fall_2010_Active,"492,393"
Massachusetts,All 4-year Institutions,2,Fall_2010_Active,"387,154"
Massachusetts,All 2-year Institutions,3,Fall_2010_Active,"105,239"
Massachusetts,All Public Institutions,4,Fall_2010_Active,"223,335"
Massachusetts,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"267,843"
Massachusetts,"All Private, for-profit Institutions",6,Fall_2010_Active,"1,215"
Massachusetts,"Public, 4-year",7,Fall_2010_Active,"118,384"
Massachusetts,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"267,555"
Massachusetts,"Private, for-profit, 4-year",9,Fall_2010_Active,"1,215"
Massachusetts,"Public, 2-year",10,Fall_2010_Active,"104,951"
Massachusetts,"Private, not-for-profit, 2-year",11,Fall_2010_Active,288
Massachusetts,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Michigan,Overall,1,Fall_2010_Active,"682,938"
Michigan,All 4-year Institutions,2,Fall_2010_Active,"422,988"
Michigan,All 2-year Institutions,3,Fall_2010_Active,"259,950"
Michigan,All Public Institutions,4,Fall_2010_Active,"561,684"
Michigan,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"121,254"
Michigan,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Michigan,"Public, 4-year",7,Fall_2010_Active,"301,734"
Michigan,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"121,254"
Michigan,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Michigan,"Public, 2-year",10,Fall_2010_Active,"259,950"
Michigan,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Michigan,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Minnesota,Overall,1,Fall_2010_Active,"445,435"
Minnesota,All 4-year Institutions,2,Fall_2010_Active,"307,429"
Minnesota,All 2-year Institutions,3,Fall_2010_Active,"138,006"
Minnesota,All Public Institutions,4,Fall_2010_Active,"275,941"
Minnesota,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"70,917"
Minnesota,"All Private, for-profit Institutions",6,Fall_2010_Active,"98,577"
Minnesota,"Public, 4-year",7,Fall_2010_Active,"137,935"
Minnesota,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"70,917"
Minnesota,"Private, for-profit, 4-year",9,Fall_2010_Active,"98,577"
Minnesota,"Public, 2-year",10,Fall_2010_Active,"138,006"
Minnesota,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Minnesota,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Mississippi,Overall,1,Fall_2010_Active,"167,650"
Mississippi,All 4-year Institutions,2,Fall_2010_Active,"91,095"
Mississippi,All 2-year Institutions,3,Fall_2010_Active,"76,555"
Mississippi,All Public Institutions,4,Fall_2010_Active,"153,433"
Mississippi,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"14,217"
Mississippi,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Mississippi,"Public, 4-year",7,Fall_2010_Active,"76,878"
Mississippi,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"14,217"
Mississippi,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Mississippi,"Public, 2-year",10,Fall_2010_Active,"76,555"
Mississippi,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Mississippi,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Missouri,Overall,1,Fall_2010_Active,"394,431"
Missouri,All 4-year Institutions,2,Fall_2010_Active,"283,886"
Missouri,All 2-year Institutions,3,Fall_2010_Active,"110,545"
Missouri,All Public Institutions,4,Fall_2010_Active,"254,943"
Missouri,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"139,488"
Missouri,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Missouri,"Public, 4-year",7,Fall_2010_Active,"144,591"
Missouri,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"139,295"
Missouri,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Missouri,"Public, 2-year",10,Fall_2010_Active,"110,352"
Missouri,"Private, not-for-profit, 2-year",11,Fall_2010_Active,193
Missouri,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Montana,Overall,1,Fall_2010_Active,"49,840"
Montana,All 4-year Institutions,2,Fall_2010_Active,"40,920"
Montana,All 2-year Institutions,3,Fall_2010_Active,"8,920"
Montana,All Public Institutions,4,Fall_2010_Active,"46,420"
Montana,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"3,420"
Montana,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Montana,"Public, 4-year",7,Fall_2010_Active,"37,500"
Montana,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"3,420"
Montana,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Montana,"Public, 2-year",10,Fall_2010_Active,"8,920"
Montana,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Montana,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Nebraska,Overall,1,Fall_2010_Active,"139,934"
Nebraska,All 4-year Institutions,2,Fall_2010_Active,"90,499"
Nebraska,All 2-year Institutions,3,Fall_2010_Active,"49,435"
Nebraska,All Public Institutions,4,Fall_2010_Active,"107,803"
Nebraska,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"32,131"
Nebraska,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Nebraska,"Public, 4-year",7,Fall_2010_Active,"58,368"
Nebraska,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"32,131"
Nebraska,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Nebraska,"Public, 2-year",10,Fall_2010_Active,"49,435"
Nebraska,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Nebraska,"Private, for-profit, 2-year",12,Fall_2010_Active,0
Nevada,Overall,1,Fall_2010_Active,"114,137"
Nevada,All 4-year Institutions,2,Fall_2010_Active,"101,550"
Nevada,All 2-year Institutions,3,Fall_2010_Active,"12,587"
Nevada,All Public Institutions,4,Fall_2010_Active,"113,103"
Nevada,"All Private, not-for-profit Institutions",5,Fall_2010_Active,"1,034"
Nevada,"All Private, for-profit Institutions",6,Fall_2010_Active,0
Nevada,"Public, 4-year",7,Fall_2010_Active,"100,516"
Nevada,"Private, not-for-profit, 4-year",8,Fall_2010_Active,"1,034"
Nevada,"Private, for-profit, 4-year",9,Fall_2010_Active,0
Nevada,"Public, 2-year",10,Fall_2010_Active,"12,587"
Nevada,"Private, not-for-profit, 2-year",11,Fall_2010_Active,0
Nevada,"Private, for-profit, 2-year",12,Fall_2010_Active,0
New_Hampshire,Overall,1,Fall_2010_Active,"68,103"
New_Hampshire,All 4-year Institutions,2,Fall_2010_Active,"53,194"
New_Hampshire,All 2-year Institutions,3,Fall_2010_Active,"14,909"
