State or Region,Institution Sector,sector_sort,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active,Fall_2020_IPEDS_Universe
United States,"Private, not-for-profit, 2-year",11,"11,349","32,356","12,132","39,570","12,863","38,163","12,624","31,930","12,545","30,767","20,443","50,604","19,261","51,112","14,263","48,483","13,349","44,975","12,618","44,460","12,618","44,460"
United States,"Private, for-profit, 2-year",12,"43,816","430,177","61,961","397,651","73,845","369,785","67,005","339,297","89,073","316,569","66,404","248,508","53,361","218,137","54,915","204,306","32,526","166,593","18,735","161,419","18,735","161,419"
Midwest,Overall,1,"4,660,642","4,998,147","4,606,959","4,912,755","4,520,397","4,769,303","4,534,102","4,696,579","4,475,750","4,592,624","4,381,338","4,481,555","4,255,513","4,356,817","4,165,985","4,241,474","4,110,727","4,174,087","4,061,347","4,128,924","4,063,756","4,128,924"
Midwest,All 4-year Institutions,2,"3,094,781","3,337,022","3,069,213","3,294,792","3,043,542","3,234,557","3,103,823","3,217,864","3,115,874","3,193,141","3,093,973","3,155,581","3,027,721","3,093,731","2,959,178","3,008,635","2,935,828","2,977,988","2,928,482","2,968,060","2,930,891","2,968,060"
Midwest,All 2-year Institutions,3,"1,565,861","1,661,125","1,537,746","1,617,963","1,476,855","1,534,746","1,430,279","1,478,715","1,359,876","1,399,483","1,287,365","1,325,974","1,227,792","1,263,086","1,206,807","1,232,839","1,174,899","1,196,099","1,132,865","1,160,864","1,132,865","1,160,864"
Midwest,All Public Institutions,4,"3,413,003","3,431,579","3,393,423","3,410,751","3,316,153","3,333,436","3,273,165","3,288,249","3,217,047","3,227,624","3,157,549","3,167,899","3,112,751","3,127,555","3,060,896","3,063,795","3,011,452","3,013,431","2,978,737","2,985,753","2,978,737","2,985,753"
Midwest,"All Private, not-for-profit Institutions",5,"949,560","1,019,406","947,018","1,017,529","945,058","999,843","939,052","986,157","929,891","969,813","918,618","953,455","897,457","938,910","884,394","918,618","910,380","945,050","893,369","929,161","895,778","929,161"
Midwest,"All Private, for-profit Institutions",6,"298,079","547,162","266,518","484,475","259,186","436,024","321,885","422,173","328,812","395,187","305,171","360,201","245,305","290,352","220,695","259,061","188,895","215,606","189,241","214,010","189,241","214,010"
Midwest,"Public, 4-year",7,"1,853,585","1,856,687","1,861,365","1,864,388","1,846,543","1,849,454","1,850,266","1,852,762","1,864,833","1,867,226","1,876,365","1,878,759","1,886,467","1,894,128","1,855,037","1,855,265","1,837,215","1,837,413","1,846,647","1,846,647","1,846,647","1,846,647"
Midwest,"Private, not-for-profit, 4-year",8,"947,860","1,010,611","945,953","1,008,942","943,195","992,354","937,128","981,768","927,642","965,623","916,931","949,962","896,196","935,310","883,535","915,935","909,718","942,756","892,594","927,038","895,003","927,038"
Midwest,"Private, for-profit, 4-year",9,"293,336","469,724","261,895","421,462","253,804","392,749","316,429","383,334","323,399","360,292","300,677","326,860","245,058","264,293","220,606","237,435","188,895","197,819","189,241","194,375","189,241","194,375"
Midwest,"Public, 2-year",10,"1,559,418","1,574,892","1,532,058","1,546,363","1,469,610","1,483,982","1,422,899","1,435,487","1,352,214","1,360,398","1,281,184","1,289,140","1,226,284","1,233,427","1,205,859","1,208,530","1,174,237","1,176,018","1,132,090","1,139,106","1,132,090","1,139,106"
Midwest,"Private, not-for-profit, 2-year",11,"1,700","8,795","1,065","8,587","1,863","7,489","1,924","4,389","2,249","4,190","1,687","3,493","1,261","3,600",859,"2,683",662,"2,294",775,"2,123",775,"2,123"
Midwest,"Private, for-profit, 2-year",12,"4,743","77,438","4,623","63,013","5,382","43,275","5,456","38,839","5,413","34,895","4,494","33,341",247,"26,059",89,"21,626",0,"17,787",0,"19,635",0,"19,635"
Northeast,Overall,1,"3,329,457","3,540,512","3,379,014","3,542,586","3,378,889","3,533,217","3,375,132","3,514,720","3,392,452","3,507,255","3,379,554","3,480,479","3,375,433","3,463,769","3,363,132","3,452,158","3,342,371","3,425,413","3,316,804","3,398,781","3,317,228","3,398,781"
Northeast,All 4-year Institutions,2,"2,437,160","2,577,674","2,485,638","2,587,252","2,501,457","2,600,852","2,512,001","2,599,340","2,541,809","2,616,535","2,560,326","2,629,759","2,582,681","2,643,864","2,596,194","2,660,735","2,606,953","2,666,047","2,608,509","2,665,302","2,608,933","2,665,302"
Northeast,All 2-year Institutions,3,"892,297","962,838","893,376","955,334","877,432","932,365","863,131","915,380","850,643","890,720","819,228","850,720","792,752","819,905","766,938","791,423","735,418","759,366","708,295","733,479","708,295","733,479"
Northeast,All Public Institutions,4,"1,996,735","2,039,337","2,035,410","2,043,808","2,019,376","2,027,585","2,004,743","2,012,382","1,994,670","2,002,044","1,955,843","1,963,098","1,935,067","1,942,477","1,913,313","1,922,065","1,881,436","1,892,230","1,853,895","1,865,328","1,853,895","1,865,328"
Northeast,"All Private, not-for-profit Institutions",5,"1,288,365","1,356,639","1,300,634","1,363,411","1,316,742","1,377,745","1,325,843","1,380,773","1,340,198","1,392,817","1,368,859","1,418,555","1,385,931","1,433,213","1,398,575","1,450,284","1,409,318","1,460,996","1,412,019","1,461,413","1,412,443","1,461,413"
Northeast,"All Private, for-profit Institutions",6,"44,357","144,536","42,970","135,367","42,771","127,887","44,546","121,565","57,584","112,394","54,852","98,826","54,435","88,079","51,244","79,809","51,617","72,187","50,890","72,040","50,890","72,040"
Northeast,"Public, 4-year",7,"1,116,627","1,158,640","1,154,848","1,162,740","1,153,019","1,160,750","1,152,144","1,159,783","1,160,322","1,167,696","1,153,892","1,161,147","1,159,409","1,166,819","1,159,916","1,168,668","1,157,652","1,165,512","1,152,147","1,160,591","1,152,147","1,160,591"
Northeast,"Private, not-for-profit, 4-year",8,"1,282,481","1,341,447","1,293,604","1,348,450","1,309,953","1,363,778","1,319,187","1,366,802","1,333,890","1,380,772","1,361,512","1,406,788","1,378,798","1,422,002","1,393,091","1,440,347","1,404,753","1,452,361","1,407,546","1,451,940","1,407,970","1,451,940"
Northeast,"Private, for-profit, 4-year",9,"38,052","77,587","37,186","76,062","38,485","76,324","40,670","72,755","47,597","68,067","44,922","61,824","44,474","55,043","43,187","51,720","44,548","48,174","48,816","52,771","48,816","52,771"
Northeast,"Public, 2-year",10,"880,108","880,697","880,562","881,068","866,357","866,835","852,599","852,599","834,348","834,348","801,951","801,951","775,658","775,658","753,397","753,397","723,784","726,718","701,748","704,737","701,748","704,737"
Northeast,"Private, not-for-profit, 2-year",11,"5,884","15,192","7,030","14,961","6,789","13,967","6,656","13,971","6,308","12,045","7,347","11,767","7,133","11,211","5,484","9,937","4,565","8,635","4,473","9,473","4,473","9,473"
Northeast,"Private, for-profit, 2-year",12,"6,305","66,949","5,784","59,305","4,286","51,563","3,876","48,810","9,987","44,327","9,930","37,002","9,961","33,036","8,057","28,089","7,069","24,013","2,074","19,269","2,074","19,269"
South,Overall,1,"6,421,385","7,063,659","6,531,236","7,138,130","6,516,902","7,052,864","6,579,898","6,952,815","6,592,102","6,902,358","6,599,448","6,859,441","6,626,099","6,884,494","6,663,425","6,913,929","6,685,366","6,907,897","6,708,985","6,934,998","6,733,613","6,934,998"
South,All 4-year Institutions,2,"4,164,936","4,557,994","4,297,783","4,681,833","4,358,650","4,711,789","4,463,427","4,697,830","4,545,810","4,731,434","4,590,957","4,746,613","4,665,728","4,823,901","4,697,087","4,850,159","4,782,183","4,916,156","4,862,385","4,997,343","4,887,013","4,997,343"
South,All 2-year Institutions,3,"2,256,449","2,505,665","2,233,453","2,456,297","2,158,252","2,341,075","2,116,471","2,254,985","2,046,292","2,170,924","2,008,491","2,112,828","1,960,371","2,060,593","1,966,338","2,063,770","1,903,183","1,991,741","1,846,600","1,937,655","1,846,600","1,937,655"
South,All Public Institutions,4,"5,435,805","5,584,659","5,496,371","5,630,357","5,453,574","5,555,295","5,433,853","5,483,514","5,416,737","5,459,600","5,424,454","5,447,598","5,463,796","5,488,109","5,493,690","5,521,762","5,512,387","5,531,753","5,527,760","5,547,858","5,527,760","5,547,858"
South,"All Private, not-for-profit Institutions",5,"870,304","980,462","900,852","1,024,928","931,895","1,033,804","959,191","1,039,592","969,324","1,043,694","998,877","1,078,646","996,002","1,082,981","1,005,914","1,089,529","1,018,911","1,102,556","1,027,523","1,106,985","1,030,485","1,106,985"
South,"All Private, for-profit Institutions",6,"115,276","498,538","134,013","482,845","131,433","463,765","186,854","429,709","206,041","399,064","176,117","333,197","166,301","313,404","163,821","302,638","154,068","273,588","153,702","280,155","175,368","280,155"
South,"Public, 4-year",7,"3,194,851","3,235,324","3,282,049","3,322,610","3,314,855","3,352,040","3,337,984","3,354,803","3,389,951","3,406,910","3,440,547","3,448,841","3,528,225","3,538,646","3,554,211","3,570,769","3,623,216","3,630,974","3,693,302","3,700,563","3,693,302","3,700,563"
South,"Private, not-for-profit, 4-year",8,"868,348","975,797","898,802","1,012,990","929,875","1,022,442","957,183","1,030,213","967,342","1,034,380","994,389","1,052,935","991,246","1,055,122","1,001,820","1,060,734","1,013,811","1,073,492","1,023,101","1,079,372","1,026,063","1,079,372"
South,"Private, for-profit, 4-year",9,"101,737","346,873","116,932","346,233","113,920","337,307","168,260","312,814","188,517","290,144","156,021","244,837","146,257","230,133","141,056","218,656","145,156","211,690","145,982","217,408","167,648","217,408"
South,"Public, 2-year",10,"2,240,954","2,349,335","2,214,322","2,307,747","2,138,719","2,203,255","2,095,869","2,128,711","2,026,786","2,052,690","1,983,907","1,998,757","1,935,571","1,949,463","1,939,479","1,950,993","1,889,171","1,900,779","1,834,458","1,847,295","1,834,458","1,847,295"
South,"Private, not-for-profit, 2-year",11,"1,956","4,665","2,050","11,938","2,020","11,362","2,008","9,379","1,982","9,314","4,488","25,711","4,756","27,859","4,094","28,795","5,100","29,064","4,422","27,613","4,422","27,613"
South,"Private, for-profit, 2-year",12,"13,539","151,665","17,081","136,612","17,513","126,458","18,594","116,895","17,524","108,920","20,096","88,360","20,044","83,271","22,765","83,982","8,912","61,898","7,720","62,747","7,720","62,747"
West,Overall,1,"5,018,010","5,413,504","5,030,714","5,400,348","5,020,707","5,287,491","4,982,562","5,211,344","4,975,361","5,191,770","4,961,646","5,142,958","4,955,791","5,125,969","4,975,034","5,144,267","4,986,127","5,137,093","4,999,331","5,173,423","5,001,407","5,173,423"
West,All 4-year Institutions,2,"2,661,107","2,862,561","2,724,475","2,930,254","2,744,214","2,931,951","2,739,976","2,891,953","2,795,328","2,938,734","2,823,714","2,941,886","3,068,390","3,179,557","3,175,253","3,291,012","3,237,647","3,339,397","3,285,711","3,406,676","3,287,787","3,406,676"
West,All 2-year Institutions,3,"2,356,903","2,550,943","2,306,239","2,470,094","2,276,493","2,355,540","2,242,586","2,319,391","2,180,033","2,253,036","2,137,932","2,201,072","1,887,401","1,946,412","1,799,781","1,853,255","1,748,480","1,797,696","1,713,620","1,766,747","1,713,620","1,766,747"
West,All Public Institutions,4,"4,000,461","4,087,234","3,959,250","4,025,280","3,943,726","3,964,027","3,939,385","3,961,413","3,942,652","3,965,747","3,962,965","3,989,508","3,996,808","4,024,831","4,024,005","4,052,533","4,031,078","4,055,710","4,040,849","4,063,980","4,041,539","4,063,980"
West,"All Private, not-for-profit Institutions",5,"450,665","498,109","473,112","521,024","498,635","541,939","530,208","566,223","554,392","588,227","581,607","611,116","594,520","621,142","620,317","646,356","726,853","750,607","749,852","780,691","751,238","780,691"
West,"All Private, for-profit Institutions",6,"566,884","828,161","598,352","854,044","578,346","781,525","512,969","683,708","478,317","637,796","417,074","542,334","364,463","479,996","330,712","445,378","228,196","330,776","208,630","328,752","208,630","328,752"
West,"Public, 4-year",7,"1,664,596","1,674,120","1,689,471","1,697,991","1,716,088","1,730,439","1,737,162","1,753,069","1,798,005","1,815,418","1,845,905","1,863,690","2,122,651","2,142,303","2,237,783","2,258,775","2,292,214","2,312,521","2,337,520","2,357,019","2,338,210","2,357,019"
West,"Private, not-for-profit, 4-year",8,"448,856","494,405","471,125","516,940","496,444","537,398","528,172","562,032","552,386","583,733","575,329","602,372","589,027","613,504","616,684","639,646","723,831","745,752","746,904","775,555","748,290","775,555"
West,"Private, for-profit, 4-year",9,"547,655","694,036","563,879","715,323","531,682","664,114","474,642","576,852","444,937","539,583","402,480","475,824","356,712","423,750","320,786","392,591","221,602","281,124","201,287","274,102","201,287","274,102"
West,"Public, 2-year",10,"2,335,865","2,413,114","2,269,779","2,327,289","2,227,638","2,233,588","2,202,223","2,208,344","2,144,647","2,150,329","2,117,060","2,125,818","1,874,157","1,882,528","1,786,222","1,793,758","1,738,864","1,743,189","1,703,329","1,706,961","1,703,329","1,706,961"
West,"Private, not-for-profit, 2-year",11,"1,809","3,704","1,987","4,084","2,191","4,541","2,036","4,191","2,006","4,494","6,278","8,744","5,493","7,638","3,633","6,710","3,022","4,855","2,948","5,136","2,948","5,136"
West,"Private, for-profit, 2-year",12,"19,229","134,125","34,473","138,721","46,664","117,411","38,327","106,856","33,380","98,213","14,594","66,510","7,751","56,246","9,926","52,787","6,594","49,652","7,343","54,650","7,343","54,650"
Alabama,Overall,1,"293,893","331,651","290,519","322,874","284,887","316,190","286,264","314,759","307,015","313,894","303,576","309,540","304,513","311,254","312,483","315,878","300,026","302,377","298,202","300,642","298,202","300,642"
Alabama,All 4-year Institutions,2,"203,572","224,672","198,219","219,217","195,248","219,244","193,499","217,533","216,014","220,243","215,588","219,124","216,728","219,552","220,903","223,191","220,239","222,041","218,765","220,183","218,765","220,183"
Alabama,All 2-year Institutions,3,"90,321","106,979","92,300","103,657","89,639","96,946","92,765","97,226","91,001","93,651","87,988","90,416","87,785","91,702","91,580","92,687","79,787","80,336","79,437","80,459","79,437","80,459"
Alabama,All Public Institutions,4,"251,980","267,083","251,843","260,523","246,324","251,045","246,022","248,284","246,440","246,989","246,880","247,451","248,676","251,038","253,622","254,071","254,644","255,087","254,318","254,803","254,318","254,803"
Alabama,"All Private, not-for-profit Institutions",5,"22,773","25,136","23,311","26,437","23,131","26,109","22,461","25,146","22,807","26,032","23,195","25,967","22,543","24,956","23,763","25,598","24,278","25,690","23,850","24,961","23,850","24,961"
Alabama,"All Private, for-profit Institutions",6,"19,140","39,432","15,365","35,914","15,432","39,036","17,781","41,329","37,768","40,873","33,501","36,122","33,294","35,260","35,098","36,209","21,104","21,600","20,034","20,878","20,034","20,878"
Alabama,"Public, 4-year",7,"169,269","169,269","167,349","167,349","164,770","164,770","163,660","163,660","164,447","164,447","165,986","165,986","170,003","170,003","173,335","173,335","174,857","174,857","174,881","174,881","174,881","174,881"
Alabama,"Private, not-for-profit, 4-year",8,"22,773","25,136","23,311","25,814","23,131","25,591","22,461","24,674","22,807","25,514","23,195","25,531","22,543","24,570","23,763","25,598","24,278","25,690","23,850","24,961","23,850","24,961"
Alabama,"Private, for-profit, 4-year",9,"11,530","30,267","7,559","26,054","7,347","28,883","7,378","29,199","28,760","30,282","26,407","27,607","24,182","24,979","23,805","24,258","21,104","21,494","20,034","20,341","20,034","20,341"
Alabama,"Public, 2-year",10,"82,711","97,814","84,494","93,174","81,554","86,275","82,362","84,624","81,993","82,542","80,894","81,465","78,673","81,035","80,287","80,736","79,787","80,230","79,437","79,922","79,437","79,922"
Alabama,"Private, not-for-profit, 2-year",11,0,0,0,623,0,518,0,472,0,518,0,436,0,386,0,0,0,0,0,0,0,0
Alabama,"Private, for-profit, 2-year",12,"7,610","9,165","7,806","9,860","8,085","10,153","10,403","12,130","9,008","10,591","7,094","8,515","9,112","10,281","11,293","11,951",0,106,0,537,0,537
Alaska,Overall,1,"32,747","33,653","32,624","34,932","31,021","32,797","30,922","34,890","29,582","34,331","28,909","31,331","27,893","28,446","26,359","26,905","25,151","25,692","22,857","23,353","22,857","23,353"
Alaska,All 4-year Institutions,2,"32,199","32,817","31,876","33,577","30,494","31,811","30,194","32,427","29,339","32,652","28,716","30,694","27,705","27,755","26,359","26,401","25,151","25,196","22,857","22,897","22,857","22,897"
Alaska,All 2-year Institutions,3,548,836,748,"1,355",527,986,728,"2,463",243,"1,679",193,637,188,691,0,504,0,496,0,456,0,456
Alaska,All Public Institutions,4,"32,015","32,303","31,932","32,158","30,364","30,595","30,253","31,600","29,003","29,892","28,393","28,393","27,352","27,352","25,850","25,850","24,649","24,649","22,328","22,328","22,328","22,328"
Alaska,"All Private, not-for-profit Institutions",5,732,732,692,742,657,715,669,764,579,693,516,615,541,670,509,625,502,628,529,664,529,664
Alaska,"All Private, for-profit Institutions",6,0,618,0,"2,032",0,"1,487",0,"2,526",0,"3,746",0,"2,323",0,424,0,430,0,415,0,361,0,361
Alaska,"Public, 4-year",7,"31,467","31,467","31,184","31,184","29,837","29,837","29,525","29,525","28,760","28,760","28,200","28,200","27,164","27,164","25,850","25,850","24,649","24,649","22,328","22,328","22,328","22,328"
Alaska,"Private, not-for-profit, 4-year",8,732,732,692,742,657,715,669,711,579,625,516,549,541,591,509,551,502,547,529,569,529,569
Alaska,"Private, for-profit, 4-year",9,0,618,0,"1,651",0,"1,259",0,"2,191",0,"3,267",0,"1,945",0,0,0,0,0,0,0,0,0,0
Alaska,"Public, 2-year",10,548,836,748,974,527,758,728,"2,075",243,"1,132",193,193,188,188,0,0,0,0,0,0,0,0
Alaska,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,53,0,68,0,66,0,79,0,74,0,81,0,95,0,95
Alaska,"Private, for-profit, 2-year",12,0,0,0,381,0,228,0,335,0,479,0,378,0,424,0,430,0,415,0,361,0,361
Arizona,Overall,1,"765,556","870,326","786,873","873,353","776,341","811,746","719,054","754,904","694,294","727,871","658,891","683,433","612,971","637,073","576,743","600,258","567,735","583,249","579,286","596,376","579,286","596,376"
Arizona,All 4-year Institutions,2,"590,119","624,248","596,891","632,298","553,936","580,611","505,884","533,580","489,188","515,585","458,502","476,319","423,076","438,757","388,257","402,576","387,207","394,213","396,838","404,915","396,838","404,915"
Arizona,All 2-year Institutions,3,"175,437","246,078","189,982","241,055","222,405","231,135","213,170","221,324","205,106","212,286","200,389","207,114","189,895","198,316","188,486","197,682","180,528","189,036","182,448","191,461","182,448","191,461"
Arizona,All Public Institutions,4,"312,193","366,976","328,852","366,116","359,015","359,229","354,219","354,462","354,772","354,997","360,764","360,976","361,124","361,400","366,387","366,787","366,739","367,198","377,217","377,648","377,217","377,648"
Arizona,"All Private, not-for-profit Institutions",5,"1,132","3,615","1,134","3,776","1,065","3,703","1,698","4,119","1,713","3,996","2,485","3,262","2,326","3,002","2,198","2,873","92,491","93,198","98,074","99,306","98,074","99,306"
Arizona,"All Private, for-profit Institutions",6,"452,231","499,735","456,887","503,461","416,261","448,814","363,137","396,323","337,809","368,878","295,642","319,195","249,521","272,671","208,158","230,598","108,505","122,853","103,995","119,422","103,995","119,422"
Arizona,"Public, 4-year",7,"136,756","136,756","138,870","138,870","141,562","141,562","145,409","145,409","154,689","154,689","164,921","164,921","173,528","173,528","180,262","180,262","188,360","188,360","197,135","197,135","197,135","197,135"
Arizona,"Private, not-for-profit, 4-year",8,"1,132","3,615","1,134","3,776","1,065","3,703","1,698","4,119","1,713","3,996","2,485","3,262","2,326","3,002","2,198","2,873","92,491","93,198","98,074","99,270","98,074","99,270"
Arizona,"Private, for-profit, 4-year",9,"452,231","483,877","456,887","489,652","411,309","435,346","358,777","384,052","332,786","356,900","291,096","308,136","247,222","262,227","205,797","219,441","106,356","112,655","101,629","108,510","101,629","108,510"
Arizona,"Public, 2-year",10,"175,437","230,220","189,982","227,246","217,453","217,667","208,810","209,053","200,083","200,308","195,843","196,055","187,596","187,872","186,125","186,525","178,379","178,838","180,082","180,513","180,082","180,513"
Arizona,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36
Arizona,"Private, for-profit, 2-year",12,0,"15,858",0,"13,809","4,952","13,468","4,360","12,271","5,023","11,978","4,546","11,059","2,299","10,444","2,361","11,157","2,149","10,198","2,366","10,912","2,366","10,912"
Arkansas,Overall,1,"162,085","173,164","165,871","176,877","168,206","174,561","164,465","170,693","164,174","168,455","164,671","167,739","164,464","166,948","161,201","163,759","156,823","159,370","155,596","158,091","155,596","158,091"
Arkansas,All 4-year Institutions,2,"104,444","110,696","107,784","113,981","111,013","114,213","111,494","114,065","111,766","114,325","114,299","116,064","116,220","117,194","114,814","115,761","113,325","114,324","110,786","112,066","110,786","112,066"
Arkansas,All 2-year Institutions,3,"57,641","62,468","58,087","62,896","57,193","60,348","52,971","56,628","52,408","54,130","50,372","51,675","48,244","49,754","46,387","47,998","43,498","45,046","44,810","46,025","44,810","46,025"
Arkansas,All Public Institutions,4,"148,800","155,780","151,751","158,760","154,573","157,224","150,676","153,690","150,394","151,399","149,236","150,165","148,509","149,383","145,759","146,697","141,568","142,382","140,286","141,950","140,286","141,950"
Arkansas,"All Private, not-for-profit Institutions",5,"13,285","16,701","14,120","17,860","13,633","17,152","13,789","16,919","13,780","16,995","15,435","17,554","15,955","17,446","15,442","17,009","15,255","16,932","15,310","16,089","15,310","16,089"
Arkansas,"All Private, for-profit Institutions",6,0,683,0,257,0,185,0,84,0,61,0,20,0,119,0,53,0,56,0,52,0,52
Arkansas,"Public, 4-year",7,"91,159","93,995","93,664","96,483","97,380","97,380","97,705","97,705","97,986","97,986","99,527","99,527","100,926","100,926","100,048","100,048","98,718","98,718","96,092","96,891","96,092","96,891"
Arkansas,"Private, not-for-profit, 4-year",8,"13,285","16,701","14,120","17,498","13,633","16,833","13,789","16,360","13,780","16,339","14,772","16,537","15,294","16,268","14,766","15,713","14,607","15,606","14,694","15,175","14,694","15,175"
Arkansas,"Private, for-profit, 4-year",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,"Public, 2-year",10,"57,641","61,785","58,087","62,277","57,193","59,844","52,971","55,985","52,408","53,413","49,709","50,638","47,583","48,457","45,711","46,649","42,850","43,664","44,194","45,059","44,194","45,059"
Arkansas,"Private, not-for-profit, 2-year",11,0,0,0,362,0,319,0,559,0,656,663,"1,017",661,"1,178",676,"1,296",648,"1,326",616,914,616,914
Arkansas,"Private, for-profit, 2-year",12,0,683,0,257,0,185,0,84,0,61,0,20,0,119,0,53,0,56,0,52,0,52
California,Overall,1,"2,579,818","2,727,111","2,561,493","2,709,780","2,536,792","2,656,478","2,540,454","2,654,694","2,553,674","2,658,951","2,569,191","2,660,233","2,591,979","2,673,685","2,622,821","2,702,978","2,630,792","2,705,444","2,622,464","2,711,774","2,623,850","2,711,774"
California,All 4-year Institutions,2,"990,383","1,061,640","1,026,099","1,100,762","1,053,110","1,126,495","1,057,041","1,125,990","1,076,452","1,137,767","1,089,971","1,143,384","1,310,564","1,360,072","1,387,879","1,442,050","1,395,085","1,447,063","1,393,270","1,458,110","1,394,656","1,458,110"
California,All 2-year Institutions,3,"1,589,435","1,665,471","1,535,394","1,609,018","1,483,682","1,529,983","1,483,413","1,528,704","1,477,222","1,521,184","1,479,220","1,516,849","1,281,415","1,313,613","1,234,942","1,260,928","1,235,707","1,258,381","1,229,194","1,253,664","1,229,194","1,253,664"
California,All Public Institutions,4,"2,214,878","2,223,648","2,172,474","2,178,629","2,128,941","2,129,152","2,147,962","2,148,147","2,166,659","2,167,444","2,198,371","2,203,094","2,224,614","2,228,932","2,242,498","2,246,844","2,248,965","2,250,219","2,246,109","2,247,228","2,246,109","2,247,228"
California,"All Private, not-for-profit Institutions",5,"259,433","284,974","267,202","292,635","276,588","299,220","285,792","308,597","287,570","308,893","286,035","305,799","286,030","305,764","291,209","310,197","294,476","312,611","307,237","327,083","308,623","327,083"
California,"All Private, for-profit Institutions",6,"105,507","218,489","121,817","238,516","131,263","228,106","106,700","197,950","99,445","182,614","84,785","151,340","81,335","138,989","89,114","145,937","87,351","142,614","69,118","137,463","69,118","137,463"
